Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP,Spend_NZD,Spend_ILS,Spend_AUD,Spend_TWD,Spend_BRL,Spend_ARS,Spend_ZAR,Spend_CLP
AR03896089079015538689,CHESCO VICTORY,EIN ID 84-2388641,US,,8,4900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04038979995253604353,Renato Moreno,,"IT, PL, PT",,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR00218899983267528705,JASON ORTIZ,,US,,26,10900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR01791943987494387713,MICHIGAN VOICES,EIN ID 83-0612165,US,,5,4800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR13554215744434077697,JR Ramirez For Texas,EIN ID 93-3463332,US,,2,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15319782791575502849,Barbara Dolniak,,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, MT, NL, PL, PT, RO, SE, SK",,13,0,450,0,100,1500,500,20000,2250,250,1000,0,0,0,0,0,0,0,0,0
AR04431173009742495745,REPUBLICAN PARTY OF IOWA,EIN ID 42-0489295,US,,2,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR05646345564179136513,Friends of Jennifer Yeh,Registered in US-OR 18844,US,,9,7100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02106327347224379393,TENNESSEE SENATE REPUBLICAN CAUCUS,EIN ID 87-4098005,US,,30,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12102700932223991809,JC Evans Inc,EIN ID 20-2989939,US,,21,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR00233818157033193473,PROGRESSIVE TAKEOVER,FEC ID C00659599,US,,28,5600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10869605994657218561,ELEICAO 2022 FERNANDO MONTEIRO DE ALBUQUERQUE DEPUTADO FEDERAL,,BR,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63000,0,0,0
AR14226185539924525057,Rousseau 4 SRP,Registered in US-AZ 1002196,US,,8,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR18338288659062587393,SUSANA MENDOZA FOR MAYOR,EIN ID 83-2478018,US,,25,52300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR07362855494865649665,Philippe Bien Aime,,US,,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR03669422970243121153,Enhedslisten Aalborg,,DK,,9,0,450,0,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0
AR16518499745753202689,Yes for Compassion,,NZ,,33,0,0,0,0,0,0,0,0,0,0,0,17400,0,0,0,0,0,0,0
AR03784894024989540353,ELEICAO 2022 MARCONI FERREIRA PERILLO JUNIOR SENADOR,,BR,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55000,0,0,0
AR04036347936215400449,ELEICAO 2022 JOAO ANTONIO HOLANDA CALDAS DEPUTADO FEDERAL,,BR,,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57500,0,0,0
AR10187617758452121601,FRICKE FOR CONGRESS,FEC ID C00718643,US,,19,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08328405924448305153,Yuri Dashevsky for US Congress 2022,FEC ID C00816637,US,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09952361508929273857,Antonio Oliverio Garcia de Almeida,,BR,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000,0,0,0
AR04220348252186214401,YUKONG ZHAO FOR CONGRESS,FEC ID C00726596,US,,13,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10549266717878517761,FRIENDS OF DAVE FAWCETT,EIN ID 92-1443573,US,,8,38600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09479541822171643905,Luiz Philippe de Orleans Bragança,,BR,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0
AR03733334901106147329,SAVE AMERICA FUND,EIN ID 84-4075408,US,,1,62400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09850764985255329793,Pavol Jaroščák,,"CZ, SI, SK",,2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10083402507318460417,DESIGNBOXED INNOVATIONS PRIVATE LIMITED,,IN,,2196,0,0,17511750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04239487897767510017,Corrie Ten Boom Fellowship,EIN ID 75-2671293,"AT, BE, BG, CZ, DE, DK, ES, FI, FR, GR, HR, IE, IT, LT, NL, PL, PT, RO, SE, SI, SK, US",,10,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR05565261185835597825,Advance Colorado,EIN ID 85-4192457,US,,5,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17010571193918423041,TERM LIMITS SUPERPAC,EIN ID 83-2072104,US,,24,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR00905842034751832065,OSP S.A,,AR,,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1080000,0,0
AR00931858094772715521,ANO 2011,,"AT, BE, BG, CY, CZ, DE, DK, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, NL, PL, PT, RO, SE, SI, SK",,180,0,3050,0,100,76500,500,20000,250,0,1000,0,0,0,0,0,0,0,0,0
AR11459884653184286721,Galluch for Congress,EIN ID 86-3460757,US,,11,22100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12538496763939520513,JULIA BROWNLEY FOR CONGRESS,FEC ID C00513077,US,,28,197900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08911937979627339777,Bradley Youngman,,US,,2,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR01326024904432156673,CAREY FOR CONGRESS,FEC ID C00779603,US,,18,14400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02277876449924874241,eleicao 2022 Armando Manuel Giuliam Moniz deputado estadual,,BR,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0
AR02464562219967315969,FRIENDS OF CINDY FISHER,EIN ID 92-2885368,US,,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09120264646765314049,YASH MORI,,US,,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17221631315682525185,EDUCATE OHIO ACTION FUND,EIN ID 92-3434222,US,,1,3200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR01945269853195599873,ANGELIA ORR CAMPAIGN,EIN ID 87-3086529,US,,3,4100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08976279922616041473,Willett for Delegate,EIN ID 83-3449077,US,,10,27800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10294799320158830593,SOISAT ΣΥΜΒΟΥΛΕΥΤΙΚΗ Ε.Ε,,"AT, BE, DE, ES, FI, FR, GR, IE, IT, LU, NL, SE",,21,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17671755914211753985,Mike Naig For Iowa Agriculture,EIN ID 83-0595416,US,,6,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR13053936441967509505,Volt Deutschland,,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, NL, PL, PT, RO, SE, SI, SK",,2,0,950,0,0,1500,500,20000,250,250,1000,0,0,0,0,0,0,0,0,0
AR07224776969223667713,All IN for Park Hill School District,Registered in US-MO A222225,US,,2,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15874586806944006145,Eurozine - Gesellschaft zur Vernetzung von Kulturmedien m.b.H.,,"AT, BE, DE, FR, HU, NL, PL, SE",,3,0,50,0,0,0,0,20000,250,0,1000,0,0,0,0,0,0,0,0,0
AR12561014762076372993,WASHINGTON CO DEM COM,Registered in US-PA 2009362,US,,23,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10741556458169565185,Juan Manuel Ramos,,AR,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0
AR11256986481111072769,Committee to Elect Rick Kuss for Sheriff,EIN ID 88-2068323,US,,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08259701291119280129,Robert Iliev,,"AT, BE, CZ, DE, ES, HU, IE, PL, SK",,40,0,100,0,0,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR06782896440160026625,CHERYL BUTLER COMMITTEE TO ELECT,EIN ID 84-5039561,US,,230,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR03021528321872625665,IMPRESSADS MARKETING SOLUTIONS PRIVATE LIMITED,,IN,,129,0,0,1155250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09862514160351313921,TOM WOLF FOR GOVERNOR,EIN ID 46-2412300,US,,13,76900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR03162002339754147841,GEORGE W. HINDMAN FOR CONGRESS,FEC ID C00724617,US,,36,4600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08373126910640652289,ELEICAO 2022 RENATA SABRA BAIAO FIORIO NASCIMENTO DEPUTADO FEDERAL,,BR,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000,0,0,0
AR15702778253859094529,LEADING COLORADO FORWARD,EIN ID 83-2522034,US,,90,228200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10878022996686012417,Bundesverband Deutscher Privatkliniken (BDPK) e.V.,,"DE, IT, NL, RO",,6,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR15823180205939228673,ELEICAO 2022 DENY BRUCE DE SOUSA SOBRINHO DEPUTADO ESTADUAL,,BR,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,0,0,0
AR03298900539663712257,ELEICAO 2022 FERNANDO PEREIRA SIRCHIA JUNIOR DEPUTADO ESTADUAL,,BR,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0,0
AR11944021613126615041,SPEAK UP,EIN ID 32-0487626,US,,2,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR14580770549459320833,Feather and Flute Fintrade Private Limited,,"FR, IN, IT, NL, PL, PT, RO",,3,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR06993182024701837313,品觀點傳媒科技股份有限公司,,TW,,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51000,0,0,0,0
AR02548351706152828929,Ajwang for Congress,FEC ID H2CA18148,US,,3,24900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09261698813175791617,En Comú Podem,,"BE, CZ, DE, ES, FI, FR, GR, IE, IT, NL, PL, PT, RO, SI",,54,0,5100,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0
AR17618282471864926209,ELEICAO 2022 GERALDO FRANCISCO DO NASCIMENTO DEPUTADO DISTRITAL,,BR,,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0
AR11846433633969635329,MIKE CRAPO FOR US SENATE,FEC ID C00330886,US,,164,265400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08390786854089129985,OWL-Digital GmbH & Co. KG,,DE,,1,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR14048057578118709249,Karthik for Texas,EIN ID 92-2982828,US,,9,6800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10992204118134620161,BILAL MAHMOOD FOR DCCC 2024,EIN ID 93-3833007,US,,7,27800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR09577168421674549249,LA LANE FOR TUCSON,Registered in US-AZ ,US,,9,5300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR08134966988347801601,FREEDOM CLUB STATE PAC,EIN ID 41-1858156,US,,7,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR02405865650711953409,Friends of Mark Meek,Registered in US-OR 16719,US,,20,71900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR10547043299208724481,Δημήτριος Καιρίδης,,"AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GB, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK",,337,0,7300,0,100,1500,500,20000,250,250,1000,50,0,0,0,0,0,0,0,0
AR02467603572208959489,ELISSA SLOTKIN FOR CONGRESS,FEC ID C00650150,US,,160,480600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR01379567547292057601,JUDE SCHRODER,,US,,14,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR12792081597419487233,ASSEMBLEIA LEGISLATIVA DO ESTADO DO ESPIRITO SANTO,,BR,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,0,0,0
AR03554841901439909889,Campaign Committee of Elliott Engen,Registered in US-MN 18530,US,,6,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR01537361965687504897,Re-Elect Laurie Lieberman for School Board 2022,Registered in US-CA 1443164,US,,1,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17138993121250508801,Pesarikayala Pareekshith Reddy,,IN,,9,0,0,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR05895687313568038913,IRON LIBERTY CONSULTING GROUP,EIN ID 47-3372162,US,,9,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR11898985616852910081,JACKIE FOR SALEM,Registered in US-OR 19242,US,,10,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR04493883311835316225,Dan Kessler for MN Senate,Registered in US-MN 18841,US,,6,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR11857411639097688065,ELEICAO 2022 MAISA DINIZ LIMA DEPUTADO FEDERAL,,BR,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,0,0,0
AR00644490148054040577,ADVANCING AMERICAN FREEDOM INC,EIN ID 86-1778799,US,,22,33200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AR17139676055410311169,高可娣,,TW,,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0,0,0,0
AR17154686381994278913,KNUTE FOR CONGRESS,FEC ID C00730507,US,,42,8400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
